docid,title,text,subject,predicate,object,relation_present,basic_relation,template_relation,llm_relation,llm_clean_gpt51_he_triplet_0s_nc,llm_raw_gpt51_he_triplet_0s_nc,llm_clean_gpt51_he_triplet_5s_nc,llm_raw_gpt51_he_triplet_5s_nc,llm_clean_gpt51_en_triplet_0s_nc,llm_raw_gpt51_en_triplet_0s_nc,llm_clean_gpt51_en_triplet_5s_nc,llm_raw_gpt51_en_triplet_5s_nc
14173,תוכנת פרסום,"תוכנת פרסום (באנגלית: Adware - קיצור של Advertising Software) היא תוכנה המביאה תכנים פרסומיים מרשת האינטרנט למחשב הלקוח, לרוב בצורה של חלונות קופצים. בדומה לרוגלה, תוכנת הפרסות מותקנת פעמים רבות בניגוד לרצונו ובלא ידיעתו של המשתמש, וגוזלת משאבים מהמערכת.
תוכנות מסוימות מכילות בתוכן תוכנות פרסום, כתמורה לשימוש בתוכנה או לדבר אחר (כמו גלישה חינם באינטרנט), ואינן עובדות כאשר אלו מוסרות.",תוכנת פרסום,תת-קבוצה של,נוזקה,0,תוכנת פרסום תת-קבוצה של נוזקה,תוכנת פרסום הוא תת-קבוצה של נוזקה,תוכנות פרסום מסוימות הן סוג של נוזקה.,0,לא,0,לא,0,no,0,no
2139186,וילהלם טראוגוט קרוג,"וילהלם טראוגוט קרוג (בגרמנית: Wilhelm Traugott Krug; 22 ביוני 1770, רדיס ליד ויטנברג, פרוסיה – 12 בינואר 1842, לייפציג) היה פילוסוף גרמני נוצרי, מחבר פורה ותומך באמנציפציה ליהודים.
פרופסור לפילוסופיה באוניברסיטת פרנקפורט שעל האודר (1801–1804) ויורשו של עמנואל קאנט באוניברסיטת קניגסברג .",וילהלם טראוגוט קרוג,מוקד פעילות,לייפציג,0,וילהלם טראוגוט קרוג מוקד פעילות לייפציג,מוקד הפעילות של וילהלם טראוגוט קרוג הוא לייפציג,וילהלם טראוגוט קרוג פעל בעיקר בלייפציג.,0,לא,0,לא,0,no,0,no
1094967,שאן,"שאן (בגרמנית: Schaan) היא העיירה הגדולה ביותר בנסיכות ליכטנשטיין. העיר ממוקמת במרכז המדינה, צפונית לבירה ואדוץ. שאן גובלת בעיירה השווייצרית בוקס (Buchs), שבקנטון סנט גאלן.
שאן היא המרכז הכלכלי של ליכטנשטיין וליותר מ-4,000 חברות משרדים בעיר. בשאן המטה העולמי של יצרנית כלי החשמל Hilti ושל יצרנית הציוד לרופאי השיניים Ivoclar Vivadent.
== קישורים חיצוניים ==",סנט גאלן,יחידה מנהלית,שווייצרית,0,סנט גאלן יחידה מנהלית שווייצרית,סנט גאלן היא יחידה מנהלית של שווייצרית,סנט גאלן היא יחידה מנהלית בשווייץ.,1,כן,1,כן,1,yes,1,yes
1895461,בית הכנסת משכן יעקב,"בית הכנסת משכן יעקב ממוקם בעיירת החוף זרזיס בתוניסיה. הוא נבנה בסביבות שנת 1900 כאשר מנתה הקהילה היהודית של זרזיס כ -1,000 איש. פיגוע הצתה בשנת 1982, בעקבות הטבח בסברה ושתילה בלבנון, הותיר את בית הכנסת וספרי התורה הרוסים לחלוטין. לאחר מכן הוא נבנה מחדש ומשמש כיום את 100 יהודי העיר הנותרים.
בית הכנסת המעוצב בפאר מוביל לחצר באוויר הפתוח הכוללת חדרים סמוכים המשמשים ללימוד. ראש הקהילה נקרא אליהו סופר.",הטבח בסברה ושתילה,מדינה,לבנון,1,הטבח בסברה ושתילה מדינה לבנון,המיקום של הטבח בסברה ושתילה הוא במדינת לבנון,מדינת לבנון הייתה זירת הטבח בסברה ושתילה.,1,כן,1,כן,1,yes,1,yes
250191,מאראקיי,"מאראקיי (באנגלית: Marakei) הוא אטול אלמוגים בצפון שרשרת איי גילברט ברפובליקת קיריבטי שבמרכז האוקיינוס השקט.
שטחו של האטול כ-14 קמ""ר. במרכז האטול לגונה גדולה שבחלקה מגיעה לעומק רב יחסית ללגונות מסוג זה. באטול שני איונים עיקריים המופרדים באמצעות שתי תעלות צרות ורדודות ביותר עד שבזמן שפל ניתן לחצות את התעלות בהליכה. התעלות נקראות מעבר בארטואה (Baretoa Pass) ומעבר רווטה ( Reweta Pass).",מאראקיי,נמצא על שפת גוף מים,האוקיינוס השקט,1,מאראקיי נמצא על שפת גוף מים האוקיינוס השקט,מאראקיי נמצא על שפת האוקיינוס השקט,מאראקיי שוכנת על שפת האוקיינוס השקט.,1,כן,1,כן,1,yes,1,yes
250191,מאראקיי,"מאראקיי (באנגלית: Marakei) הוא אטול אלמוגים בצפון שרשרת איי גילברט ברפובליקת קיריבטי שבמרכז האוקיינוס השקט.
שטחו של האטול כ-14 קמ""ר. במרכז האטול לגונה גדולה שבחלקה מגיעה לעומק רב יחסית ללגונות מסוג זה. באטול שני איונים עיקריים המופרדים באמצעות שתי תעלות צרות ורדודות ביותר עד שבזמן שפל ניתן לחצות את התעלות בהליכה. התעלות נקראות מעבר בארטואה (Baretoa Pass) ומעבר רווטה ( Reweta Pass).",מאראקיי,חלק מתוך,איי גילברט,1,מאראקיי חלק מתוך איי גילברט,מאראקיי הוא חלק מתוך איי גילברט,מאראקיי הוא חלק מאיי גילברט.,1,כן,1,כן,1,yes,1,yes
1948774,סונן אבו דאוד,"סונן אבו דאוד (בערבית: سنن أبي داود) הוא אחד מששת ספרי החדית' המרכזיים באסלאם הסוני, הנקראים אל-כותוב א-סיתה. הספר חובר על ידי האימאם אבו דאוד. הספר מכיל כ-4,800 מסורות, אותם אסף אבו דאוד ב-20 שנה.
== ראו גם ==
* צחיח אל-בוח'ארי
* צחיח מוסלם
* סונן אבן מאג'ה",סונן אבו דאוד,השפה של היצירה או של השם,ערבית,0,סונן אבו דאוד השפה של היצירה או של השם ערבית,השפה של סונן אבו דאוד היא ערבית,סונן אבו דאוד נכתב בשפה הערבית.,1,כן,1,כן,1,yes,1,yes
2267435,מתי תביני,"""מתי תביני"" הוא אלבום האולפן העשירי של הזמר הישראלי בני אל. את האלבום הוציאה בשנת 2000 לאור חברת התקליטים האחים ראובני על גבי תקליטור. הוא חידש שני שירים באלבום: ""נגמרות לי המלים"" של מאיר בנאי ו""יש לך אותי"" של להקת תיסלם. איתן אלבז היה אחראי על עיבודו ועל הפקתו, ובין היוצרים שהשתתפו בהקלטתו נמנים אהוד מנור, דני שושן ואיזי מן.
== רשימת רצועות ==
== הערות שוליים ==
קטגוריה:אלבומי 2000
קטגוריה:אלבומי בני אל
קטגוריה:אלבומים בעברית",מתי תביני,אמן מבצע,בני אל,1,מתי תביני אמן מבצע בני אל,האמן המבצע של מתי תביני הוא בני אל,"בני אל יבצע את ""מתי תביני"".",1,כן,1,כן,1,yes,1,yes
1828694,Love Songs (אלבום של טינה טרנר),"Love Songs (בעברית: שירי אהבה) הוא אלבום אוסף של הזמרת האמריקאית טינה טרנר אשר יצא ב-3 בפברואר 2014 על ידי חברות התקליטים רינו אנטרטיינמנט ופרלופון. האלבום מכיל אוסף של 18 שירי אהבה שטרנר הוציאה לאורך הקריירה שלה.
האלבום זכה להצלחה רבה ודורג כאחד מ-60 אלבומי השנה בהונגריה.
== רשימת רצועות ==
== מיקומי שיא ==",פרלופון,מופע של,חברות התקליטים,1,פרלופון מופע של חברות התקליטים,פרלופון הוא סוג של חברות התקליטים,פרלופון הוא מופע של חברות התקליטים.,1,כן,1,כן,0,no,1,yes
1867999,חורושיובסקי,"חורושיובסקי (ברוסית: Хорошёвский район) הוא ראיון של המחוז הצפוני של העיר הפדרלית מוסקבה, שברוסיה.
== אתרים ראויים לציון ==
* VEB ארנה
* מגה-ספורט ארנה
* היכל הספורט האוניברסלי של צסק""א
* טריומף פאלאס
* קניון אוויאפארק
* פארק שדה חודינקה
* Nordstar Tower 
* תחנת המטרו צסק""א",מוסקבה,מופע של,העיר הפדרלית,1,מוסקבה מופע של העיר הפדרלית,מוסקבה הוא סוג של העיר הפדרלית,מוסקבה היא מופע של העיר הפדרלית.,0,לא,0,לא,1,yes,1,yes
1696445,אופון,"אופון (בהונגרית: Uppony) הוא כפר במחוז בורשוד-אבאוי-זמפלן שבצפון מזרח הונגריה. כמו כפרים רבים באירופה גם אוכלוסיית אופון נמצאת בירידה שנים רבות מ-482 תושבים בשנת 1990 עד 227 תושבים בשנת 2018 (ירידה של מעל 50%).
בכפר חיו מעט יהודים לתקופת זמן מוגבלת.",הונגריה,חלוקה משנית,בורשוד-אבאוי-זמפלן,1,הונגריה חלוקה משנית בורשוד-אבאוי-זמפלן,בורשוד-אבאוי-זמפלן הוא חלוקה משנית של הונגריה,בורשוד-אבאוי-זמפלן היא מחוז בהונגריה.,1,כן,1,כן,1,yes,1,yes
21166,ז'פורה,"ריו ז'פורה (בפורטוגזית: Rio Japurá; בספרדית: Río Caquetá, ריו קקטה) מתחיל את זרימתו בהרי האנדים בקולומביה ומשם ממשיך הלאה לברזיל ונשפך אל נהר האמזונאס. אורכו 2,816 ק""מ. היערות מצפון לנהר ז'פורה נחשבים לחבל ארץ שעדיין לא דרכה עליו כף רגלו של האדם הלבן, ומרבית שבטי האינדיאנים בחבל ארץ נרחב זה עודם פראיים להפליא.",ריו קקטה,מדינה,ברזיל,1,ריו קקטה מדינה ברזיל,המיקום של ריו קקטה הוא במדינת ברזיל,ריו קקטה נמצאת בברזיל.,1,כן,1,כן,1,yes,1,yes
2157677,אקא,"אקא (בערבית: أقّا) היא עיירה במחוז סוס מאסה במרוקו. על פי מפקד האוכלוסין של 2004 היו בה 7,102 תושבים. הוא מכיל מבנים ישנים כמו בניין מוהדין (הידוע במקום בשם Lalla Baitollah) בקסבט-סידי עבדאללה בן מ'בארק.
בכפר קטן ליד אקא נמצא קבר הצדיק רבי יששכר בעל המעיין. המעיין סמוך לקבר, נובע כל השנה ומהווה מקור מים לשדות ולעצים באזור אקא.
אקא עשויה להיות זהה ""לוואקא"" שבה, על פי מסורות מסוימות, התיישבו היהודים הראשונים שהיגרו למרוקו.",סוס מאסה,יחידה מנהלית,מרוקו,1,סוס מאסה יחידה מנהלית מרוקו,סוס מאסה היא יחידה מנהלית של מרוקו,סוס מאסה היא יחידה מנהלתית במרוקו.,1,כן,1,כן,1,yes,1,yes
1712693,פרה (הונגריה),"פרה (בהונגרית: Pere) הוא כפר קטן במחוז בורשוד-אבאוי-זמפלן שבצפון מזרח הונגריה. כמו יישובים רבים באירופה, גם אוכלוסיית פרה קטנה משמעותית בשנים האחרונות, מ-476 תושבים בשנת 1990 עד 335 תושבים בשנת 2018 (ירידה של כ-29%).
בפרה חיו מעט יהודים. בית הקברות היהודי היה ממוקם על שפת נהר הרנאד, אך בשנות השישים נשטפו המצבות עקב השיטפונות התכופים.",פרה,מדינה,הונגריה,1,פרה מדינה הונגריה,המיקום של פרה הוא במדינת הונגריה,פרה הונגרית רעה בשדות הונגריה.,1,כן,1,כן,1,yes,1,yes
2282035,ביגנאי (יין),"יין ביגנאי, (באנגלית: Bignay wine; הידוע גם בשם Bugnay wine) הוא יין פירות פיליפיני העשוי מפירות יער של עץ הביגנאי או הבגנאי המקומי (Antidesma bunius).
צבעו אדום עמוק ומעט מתוק עם ניחוח פירותי.
== קישורים חיצוניים ==
== הערות שוליים ==",פיליפיני,שפה שבשימוש,אנגלית,0,פיליפיני שפה שבשימוש אנגלית,השפה שבשימוש ב-פיליפיני היא אנגלית,בפיליפינים משתמשים גם בשפה האנגלית.,0,לא,0,לא,1,yes,1,yes
1994164,הוגו הארדטל,"הוגו הארדטל (בגרמנית: Hugo Haerdtl; 1846, קרניולה – 1918, ווינה) היה פסל אוסטרי.
== ביוגרפיה ==
הארדטל נולד בקרניולה. הארדטל למד פיסול באקדמיה לאמנויות בווינה אצל פרנץ מלניצקי. איתו הוא גם עבד. 
לאחר מותו של מלינצקי בשנת 1876 עבד הארדטל באופן עצמאי. 
הארדטל נקבר בבית העלמין המרכזי בווינה.
==גלריה==",הוגו הארדטל,מקום לידה,קרניולה,1,הוגו הארדטל מקום לידה קרניולה,מקום הלידה של הוגו הארדטל הוא קרניולה,הוגו הארדטל נולד בקרניולה.,1,כן,1,כן,1,yes,1,yes
786341,האלפים הימיים,"אלפּ-מריטים (בצרפתית: Alpes-Maritimes, באוקסיטנית: Aups Maritims, ""ה[[הרי האלפים|אלפים]] הימיים"") הוא מחוז בצרפת בחבל פרובאנס-אלפ-קוט ד'אזור, הנמצא בפינה הדרומית-מזרחית של צרפת המטרופולינית. המחוז גובל במחוזות האלפים של פרובנס עילית וואר, במדינות מונקו ואיטליה, ובים התיכון, ובירתו היא העיר ניס. מקומות מעניינים נוספים במחוז הם קאן, אנטיב, מנטון, וגראס.
== קישורים חיצוניים ==
* אתר הנציבות הרשמי
* אתר המועצה הכללית",האלפים הימיים,חלוקה משנית,ניס,1,האלפים הימיים חלוקה משנית ניס,ניס הוא חלוקה משנית של האלפים הימיים,ניס הוא חלק מהאלפים הימיים.,0,לא,1,כן,0,no,1,yes
1035910,מרצדס-בנץ CLS-קלאס,"מרצדס-בנץ CLS-קלאס (Mercedes-Benz CLS-Class) היא מכונית סלון המיוצרת על ידי החברה הגרמנית מרצדס החל משנת 2004.
דגם ה-ברבוס רוקט מתוצרת יצרנית הרכב הגרמנית בראבוס (שם מלא: ""BRABUS GmbH"") מבוסס על דגם ""מרצדס-בנץ CLS-קלאס"".
==גרסאות==
המרצדס-בנץ CLS-קלאס הושקה לראשונה בשנת 2004 עם מנוע V6 או V8 עם הספק מרבי של 507 כ""ס.
*(2004-2010) סדרת ה-W219
*(2010-היום) סדרת ה-W218",מרצדס-בנץ CLS-קלאס,מותג,מרצדס,1,מרצדס-בנץ CLS-קלאס מותג מרצדס,מרצדס-בנץ CLS-קלאס שייך למותג מרצדס,מרצדס-בנץ CLS-קלאס הוא מותג של מרצדס.,1,כן,1,כן,1,yes,1,yes
2126331,משרד ההגנה (סלובקיה),"משרד ההגנה (בסלובקית: Ministerstvo obrany או בראשי תיבות MO) הוא משרד בממשלה הסלובקית, האחראי על יישום מדיניות הביטחון של סלובקיה. בראשו עומד השר, חבר הממשלה. השר העומד בראש המשרד אחראי על ניהולם השוטף של הכוחות המזוינים של סלובקיה, כמו גם על גיוסם בשעת הצורך. הוא מדווח ישירות לראש הממשלה. ראש המטה הכללי מדווח ישירות לשר. 
ירוסלב נאד ממפלגת אנשים רגילים ואישים עצמאיים מכהן כשר ההגנה מאז 21 במרץ 2020.",משרד ההגנה,מדינה,סלובקיה,0,משרד ההגנה מדינה סלובקיה,המיקום של משרד ההגנה הוא במדינת סלובקיה,משרד ההגנה משתף פעולה עם סלובקיה.,1,כן,1,כן,1,yes,1,yes
511717,ויטרבו (נפה),"נפת ויטרבו (באיטלקית: Provincia di Viterbo) היא נפה בצפונו של מחוז לאציו שבאיטליה. היא משתרעת על שטח של 3,612 קמ""ר, ובשנת 2005 התגוררו בה 299,830 נפש. בירתה של הנפה בעיר ויטרבו. 
הנפה גובלת בנפת גרוסטו ובנפת סיינה במחוז טוסקנה בצפון-מערב, בנפת טרני במחוז אומבריה בצפון-מזרח, בנפת ריאטי במחוז לאציו במזרח, בנפת רומא במחוז לאציו בדרום ובים הטירני במערב.",ויטרבו (נפה),גובל עם,נפת סיינה,1,ויטרבו (נפה) גובל עם נפת סיינה,ויטרבו (נפה) גובל ב-נפת סיינה,נפת ויטרבו גובלת בנפת סיינה.,1,כן,1,כן,1,yes,1,yes
645555,איקאוניס,"איקאוניס (בלטינית: Dea Icaunis) היא אלה במיתולוגיה הקלטית ובדת הגאלית-רומית. איקאוניס היא אלת הנהר יון שבגאליה (במחוז יון, בבורגון שבצרפת של ימינו).
כתובת המוקדשת לאלה התגלה באוסר שבבורגון.
==לקריאה נוספת==
* Taliesin Enion Vawr, Rhuddlwm Gawr, Merridden Gawr, The Word: Welsh Witchcraft, the Grail of Immortality and the Sacred Keys, iUniverse, 2002.
קטגוריה:אלים בריטיים וגאליים קדומים",גאליה,מדינה,צרפת,1,גאליה מדינה צרפת,המיקום של גאליה הוא במדינת צרפת,גאליה היא מדינתה הקדומה של צרפת.,0,לא,0,לא,0,no,1,yes
842598,דו (מחוז),"דו (בצרפתית: Doubs, בארפיטנית Dubs) הוא מחוז בצרפת בחבל פראנש-קונטה הקרוי על שם הנהר דו. המחוז הוקם ב-4 במרץ 1790 והוא אחד מ-83 המחוזות המקוריים שנוצרו לאחר המהפכה הצרפתית. ב-1816 מונבליאר סופחה למחוז. בירת דו היא בזאנסון.
== קישורים חיצוניים ==
* אתר הנציבות הרשמי
* אתר המועצה הכללית
קטגוריה:ערכים שבהם תבנית בריטניקה אינה מתאימה
קטגוריה:צרפת: מחוזות
קטגוריה:פראנש-קונטה",מחוז,שטח שיפוט,צרפת,0,מחוז שטח שיפוט צרפת,שטח השיפוט של מחוז הוא צרפת,מחוז הוא חלק משטח השיפוט של צרפת.,1,כן,1,כן,1,yes,1,yes
1001251,Sunday Morning,"Sunday Morning (בעברית: בוקר יום ראשון) הוא הסינגל הרביעי מתוך אלבום הבכורה של להקת הפופ רוק האמריקאית מארון 5.
השיר יצא לאור בשנת 2004.
== מיקומי שיא ==",בוקר יום ראשון,אמן מבצע,מארון 5,1,בוקר יום ראשון אמן מבצע מארון 5,האמן המבצע של בוקר יום ראשון הוא מארון 5,מארון 5 מופיע בבוקר יום ראשון.,1,כן,1,כן,1,yes,1,yes
1701259,שייקספיר (מכתש פגיעה),"מכתש שייקספיר הוא מכתש פגיעה הנמצא על כוכב חמה אשר קרוי על שמו של המחזאי, המשורר ושחקן התיאטרון האנגלי ויליאם שייקספיר. האיגוד האסטרונומי הבינלאומי הכריז על שמו של המכתש ב-1979.
== קישורים חיצוניים ==
* 
* 
== הערות שוליים ==
קטגוריה:מכתשי פגיעה על כוכב חמה",מכתש שייקספיר,ממוקם בגוף השמיימי,כוכב חמה,1,מכתש שייקספיר ממוקם בגוף השמיימי כוכב חמה,מכתש שייקספיר ממוקם על כוכב חמה,מכתש שייקספיר ממוקם על כוכב חמה.,1,כן,1,כן,1,yes,1,yes
1221044,גיבסנית,"גיבסנית (שם מדעי: Gypsophila) היא סוג צמח ממשפחת הציפורניים המונה כ-150 סוגים של פרחים וצמחים הנפוצים באירופה,אסיה וצפון אפריקה. שמה ניתן לה, כיוון שחלק מהזנים גדלים באדמה עשירה בגבס.",גיבסנית,רמה טקסונומית,סוג,1,גיבסנית רמה טקסונומית סוג,הרמה הטקסונומית של גיבסנית היא סוג,גיבסנית היא סוג של מינרל.,1,כן,1,כן,1,yes,1,yes
550394,פטוצ'יני,"פטוצ'יני ברוטב אלפרדו עם [[חסילונים]]
פטוצ'יני (מאיטלקית – Fettuccine, רצועות קטנות) הוא סוג של פסטה. הפטו'ציני דק ורחב, ומיוצר מביצים ומקמח, בדומה לטליאטלה.
במטבח האיטלקי הוא מיוצר טרי באופן מסורתי, אך גרסאות יבשות קיימות גם הן בשווקים. מנת פטוצ'יני נפוצה בצפון אמריקה וברחבי העולם היא פטוצ'יני אלפרדו.",טליאטלה,מטבח,מטבח האיטלקי,0,טליאטלה מטבח מטבח האיטלקי,טליאטלה הוא מאכל ממטבח מטבח האיטלקי,טליאטלה היא מנה פופולרית במטבח האיטלקי.,0,לא,0,לא,0,no,0,no
659529,נבחרת מאוריטניה בכדורסל,"נבחרת מאוריטניה בכדורסל היא נבחרת הכדורסל הלאומית של מאוריטניה. 
הישג השיא של נבחרת מאוריטניה הוא המקום השישי באליפות אפריקה בכדורסל שנערכה בשנת 1985.
נבחרת מאוריטניה מעולם לא העפילה למשחקים האולימפיים או לאליפות העולם בכדורסל.
== כל אליפויות אפריקה ==",נבחרת מאוריטניה בכדורסל,מדינה,מאוריטניה,1,נבחרת מאוריטניה בכדורסל מדינה מאוריטניה,המיקום של נבחרת מאוריטניה בכדורסל הוא במדינת מאוריטניה,נבחרת מאוריטניה בכדורסל מייצגת את מדינת מאוריטניה.,1,כן,1,כן,1,yes,1,yes
2005796,סמושבץ',"סמושבץ' (בהונגרית: Szamosbecs) הוא כפר קטן במחוז סבולץ'-סטמאר-ברג שבצפון מזרח הונגריה.
הכפר ואזורו מיושבים לסירוגין מאז המאה ה-14.
תושבי הכפר חיים בעיקר מחקלאות ושיווק הפירות, בדגש על תפוחים.
==יהודי סמושבץ'==
יהודים חיו בסמושבץ' במאה ה-18 ובמאה ה-19. משנת 1885 הייתה הקהילה כפופה לרבנות צ'נגר ובכפר היה בית קברות יהודי. בשנת 1944 הושמדה הקהילה ונרצחו רוב תושביה בשואת יהודי הונגריה.",סמושבץ',מדינה,הונגריה,1,סמושבץ' מדינה הונגריה,המיקום של סמושבץ' הוא במדינת הונגריה,סמושבץ' נמצאת בהונגריה.,1,כן,1,כן,1,yes,1,yes
1894254,שומלוינה,"שומלוינה (בהונגרית: Somlójenő) הוא כפר קטן במחוז וספרם שבמרכז הונגריה.
כמו כפרים רבים באירופה גם בשומלוינה מספר התושבים נמצא בירידה. כך, בשנת 1990 חיו בכפר 296 תושבים, ובשנת 2019 רק 256 תושבים.
==יהודי שומלוינה==
בשומלוינה חיו יהודים בתקופות זמן שונות.",שומלוינה,מדינה,הונגריה,1,שומלוינה מדינה הונגריה,המיקום של שומלוינה הוא במדינת הונגריה,שומלוינה היא עיר בהונגריה.,1,כן,1,כן,1,yes,1,yes
1730224,בית הכנסת מאיר טוויג,"בית הכנסת מאיר טוויג הוא בית הכנסת היחיד שפועל בבגדאד בירת עיראק מתוך 68 בתי כנסת שפעם פעלו בעיר. כיום, מספר מועט של יהודים מטפלים בבית הכנסת.
בית הכנסת ממוקם ברובע אל-בתאווין במזרח בגדאד.
בית הכנסת נבנה בשנות ה-40 של המאה ה-20 ונחנך בשנת 1942. רב בית הכנסת הוא הרב עמאד לוי.
בית הכנסת מחופה בלבנים צהובות. פנים בית הכנסת מכוסה כולו בשטיחים והישיבה בו היא על ספסלים מרופדים. בבית הכנסת מספר ספרי תורה שהעתיק מביניהם הוא בן למעלה מ-200 שנה.",בית הכנסת מאיר טוויג,יחידה מנהלית,בגדאד,1,בית הכנסת מאיר טוויג יחידה מנהלית בגדאד,בית הכנסת מאיר טוויג היא יחידה מנהלית של בגדאד,בית הכנסת מאיר טוויג הוא יחידה מנהלית בבגדאד.,1,כן,1,כן,0,no,1,yes
1940808,לופהאווה,"לופהאווה () הוא קטע של ים פתוח לאורך גבול מחוז טרומס ופינמרק בנורווגיה. רוחבו הוא כ-70 ק""מ (43 מייל), והוא משתרע בין האי הגדול סורויה בפינמרק לבין האיים ארנויה ונורד-פוילייה בטרומס. פיורד קוואננגן מתחבר אליו מדרום. מיצר פוגלויסונד מתחבר אליו ממערב.
הטמפרטורה הממוצעת היא 1 מעלות צלזיוס. החודש הכי חם הוא אוגוסט (10 מעלות צלזיוס), והחודש הקר ביותר הוא פברואר ( מעלות צלזיוס).
== הערות שוליים ==",לופהאווה,יחידה מנהלית,נורווגיה,1,לופהאווה יחידה מנהלית נורווגיה,לופהאווה היא יחידה מנהלית של נורווגיה,לופהאווה היא יחידה מנהלית בנורווגיה.,0,לא,0,לא,0,no,0,no
1902291,לשנצטומאי,"לשנצטומאי (בהונגרית: Lesencetomaj) הוא כפר קטן במחוז וספרם שבמרכז הונגריה.
כמו כפרים רבים באירופה גם בלשנצטומאי מספר התושבים נמצא בירידה. כך, בשנת 1990 חיו בכפר 1,109 תושבים, ובשנת 2020 רק 1,082 תושבים.
==יהודי לשנצטומאי==
בלשנצטומאי חיו יהודים בתקופות זמן שונות.",הונגרית,מקום מוצא,הונגריה,0,הונגרית מקום מוצא הונגריה,מקום המוצא של הונגרית הוא הונגריה,הונגרית היא שפת המקור של הונגריה.,0,לא,0,לא,1,yes,0,no
1911484,קרולטון,"קרולטון (באנגלית: Carrollton) היא העיר ה-23 בגודלה בטקסס שבארצות הברית המהווה למעשה פרבר של דאלאס. נכון לשנת 2019, אוכלוסיית העיר משוערת בכ-139,000 תושבים.
== היסטוריה ==
ההתיישבות באזור החלה בשנת 1842. עד סוף שנות ה-70 של המאה ה-19 הכלכלה התבססה בעיקר על חקלאות, אבל בתקופה זו קרולטון הפכה להיות תעשייתית יותר, דבר אשר התחזק עם בניית הרכבת באזור בשנת 1880.
אוכלוסיית העיר צמחה באופן משמעותי ביותר לאחר מלחמת העולם השנייה.
== קישורים חיצוניים ==
קטגוריה:טקסס: ערים",ארצות הברית,שפה שבשימוש,אנגלית,0,ארצות הברית שפה שבשימוש אנגלית,השפה שבשימוש ב-ארצות הברית היא אנגלית,ארצות הברית דוברת אנגלית.,0,לא,1,כן,0,no,1,yes
578404,קאהולאווה,"קאהולאווה (Kahoʻolawe) הוא אי במחוז מאווי שבמדינת הוואי שבארצות הברית, הקטן מכל איי הוואי המרכזיים. שטחו 115.5 קילומטר רבוע והוא ממוקם 11.2 קילומטר מדרום מערב לאי מאווי ו-18 קילומטר מדרום מזרח לאי לאנאי. הנקודה הגבוהה באי היא כ-450 מטר מעל לגובה פני הים. סמליו הם הפרח הינהינה והצבע אפור.
קאהולאווה אינו מיושב בתושבי קבע.
במלחמת העולם השנייה שימש האי כמטווח הפצצה.",מערב,ההפך מ־,דרום,0,מערב ההפך מ־ דרום,ההפך מ-מערב הוא דרום,מערב הוא ההפך מדרום.,0,לא,0,לא,0,no,0,no
1094971,גמפרין,"גמפרין (בגרמנית: Gamprin) היא עיירה ומחוז בנסיכות ליכטנשטיין, הממוקמת סמוך לעיירה אשן.
בסמוך לכפר נמצא אגם גמפרינר זלה, האגם היחיד במדינה.
== קישורים חיצוניים ==",אשן,מופע של,מחוז,0,אשן מופע של מחוז,אשן הוא סוג של מחוז,אשן הוא מופע של מחוז.,0,לא,0,לא,0,no,0,no
1936227,הסופר קאפ הספרדי 2017,"הסופר קאפ 2017 הוא המהדורה ה-34 במסגרת הסופר קאפ הספרדי. הטורניר נתן משחק קלאסיקו כשריאל מדריד הגיעה לאחר שזכתה בלה ליגה וברצלונה לאחר שזכתה בגביע הספרדי. ריאל מדריד זכתה בתואר בפעם ה-10 שלה כשניצחה 1–5 בסיכום שני המשחקים.
==משחקים==
===משחק ראשון===
===משחק שני===",הסופר קאפ הספרדי 2017,זוכה,ריאל מדריד,1,הסופר קאפ הספרדי 2017 זוכה ריאל מדריד,הזוכה ב-הסופר קאפ הספרדי 2017 הוא ריאל מדריד,ריאל מדריד זכתה בסופר קאפ הספרדי 2017.,1,כן,1,כן,1,yes,1,yes
1399793,בוריסוב ארנה,"בוריסוב ארנה (בבלארוסית: Барысаў-Арэна) הוא אצטדיון כדורגל בעיר בוריסוב שבבלארוס, המשמש את באטה בוריסוב ואת נבחרת בלארוס. האצטדיון מכיל 13,126 מקומות.
אבן היסוד לאצטדיון הונחה בשנת 2011 ונמשכה כ-3 שנים. המשחק הרשמי הראשון באצטדיון נערך ב-3 במאי 2014 במסגרת גמר הגביע הבלארוסי בין נמאן הורדונה ושחטיור סליהורסק. שבוע לאחר מכן ערכה באטה בוריסוב את משחקה הראשון באצטדיון בו ניצחה 3–0 את סלוטסק.",בלארוסית,מקום מוצא,בלארוס,0,בלארוסית מקום מוצא בלארוס,מקום המוצא של בלארוסית הוא בלארוס,הבלארוסית היא שפת המקור של בלארוס.,0,לא,0,לא,1,yes,1,yes
